,0,1,2
2017-07-29 0:0,0.0,0,0
2017-07-29 12:1501310299,0.007148999999999998,0,1
2017-07-29 12:1501310304,0.006790999999999999,0,1
2017-07-29 12:1501310306,0.006716,0,1
2017-07-29 12:1501310502,128.695076,0,20000
2017-07-29 12:1501310788,128.14171100000002,0,20000
2017-07-31 13:1501487933,0.008497,0,2
2017-07-31 13:1501487954,0.008868000000000001,0,2
2017-07-31 13:1501487970,0.008614,0,2
2017-07-31 13:1501488067,0.009181,0,2
2017-07-31 13:1501488096,0.037416000000000005,0,20
2017-07-31 13:1501488117,3.043791,0,2000
2017-07-31 13:1501488171,32.081666,0,20000
2017-07-31 13:1501489621,0.016465,0,2
2017-07-31 13:1501489680,31.667054999999998,0,20000
2017-07-31 14:1501490062,31.153589,0,20000
